ㄱㅇㅇ,	‘귀여워’를 초성만으로 표현한 단어.
가상데스크톱서비스,	PC 환경을 온라인에 구축해 어디서든 접속할 수 있게 하는 서비스.
가심비,	가격 대비 심리적 만족을 추구하는 소비 트렌드↔가성비
갑분싸,	‘갑자기 분위기 싸해짐’의 줄임말.
갓생,	god(신)과 인생이 합쳐진 단어로, 부지런하고 알찬 삶을 사는 것을 일컫는 말.
갓성비,	대단한 존재를 ‘갓(god)+OO’이라고 부르는 MZ세대의 언어 습관에서 유래된 말로, 가성비를 뛰어넘는 혜택을 느낄 때 쓰는 말.
게이미피케이션,	게임적 사고와 게임 기법을 활용해 사용자를 몰입시키는 기법.
고독한채팅방,	대화 없이 특정 연예인의 짤(이미지)만 공유하는 카카오톡 오픈 채팅방
고인물,	특정 분야에 막대한 시간과 정성을 투자하여 경지에 이른 사람을 뜻함. ‘고수’, ‘헤비 유저’와 비슷한 의미.
공구,	공동구매의 줄임말. 유튜버나 인플루언서가 기성 브랜드 제품을 홍보하고, 공동구매 방식으로 판매까지 유도하는 마케팅 수단.
공답,	공개 답변의 줄임말. 제품의 정보를 묻고 답할 때 사용함.
공병템,	공병이 될 때까지 싹싹 긁어 쓸 정도로 잘 맞는 아이템이라는 뜻. 뷰티 카테고리에서 주로 쓰이는 표현.
공스타그램,	공부와 인스타그램의 합성어. 공시생이나 수험생들이 공부 관련 콘텐츠를 올리는 인스타그램 계정을 일컫는 말.
관종,	관심 종자'의 줄임말. 유난히 튀는 행동이나 말을 많이 하는 사람을 뜻함.
광공,	~에 대해 집착이 있는 사람을 뜻하는 MZ세대의 신조어.
광클,	‘狂+click’의 줄임말. 아주 빠른 속도로 클릭하는 것을 의미함.
교복템,	마치 교복처럼 자주 입는(쓰는) 물건이라는 뜻.
구독계,	아무 말도 걸지 않고 그냥 상대방을 팔로해서 상대방이 쓰는 글을 보거나 리트윗만 하기 위해 이용하는 계정.
구독팟,	‘구독 파티원’의 줄임말. 구독료를 1/N 내고 사용하기 위해 여러 명이서 구독 서비스를 신청하는 MZ세대 문화를 나타냄.
국그릇핑크퐁,	웃음 소리를 나타낸 유행어 ‘ㅋㅋ루삥뽕’을 변형해서 쓰는 말.
국룰,	국민 룰의 줄임말. 보편적으로 통용되는 규칙 혹은 유행이라는 뜻.
국뽕,	부정적 어감으로 들리지만, 요즘 MZ세대가 쓰는 국뽕은 K팝과 한류의 성공으로 ‘국가에 대한 자긍심에 푹 빠짐’을 뜻하는 긍정적인 표현으로 쓰이고 있음.
군백기,	군대와 공백기의 합성어. 군 복무로 인한 연예인의 공백기를 뜻함.
굿즈,	원래 연예인과 관련된 사진, 포토카드, 응원봉 등의 제품을 뜻했으나, 최근엔 ‘한정판으로 출시되는 매력적인 아이템’을 통칭하는 단어로 자리잡음.
그라폴리오,	네이버의 웹서비스 중 하나로 전 세계 크리에이터들의 작품을 발견, 공유하고 사고팔 수 있는 창작 콘텐츠 커뮤니티.
그린워싱,	실제론 친환경이 아닌데 친환경인 척 광고하는 것.
근자감,	근거 없는 자신감의 줄임말.
금손,	손재주가 좋은 사람을 일컫는 말. 반대말은 똥손.
긱잡,	Gig Job. 필요할 때마다 계약직, 임시직을 섭외해 일을 맡기는 고용 형태. 긱 이코노미(임시직 경제)가 만들어낸 일자리를 의미함.
까방,	까임방지의 줄임말. 타인이나 사회의 비난을 미리 피하는 것을 의미함.
깡,	덕질 용어에서 처음 시작된 단어로 깡은 깐다의 줄임말. 원하는 제품을 깐다는 말로 해석할 수 있다. 비슷한 단어로는 언박싱이 있다.
껄무새,	앵무새처럼 ‘~살걸’, ‘~팔걸’을 반복하는 개인 투자자를 뜻함. (EX. 오늘 AA전자 주식 올랐네? 어제 살 걸.)
끌올,	이전에 있었던 일을 다시 끌어 올려 화제로 삼는 일을 부르는 말.
나심비,	‘나’, ‘마음(心)’, ‘소비’의 합성어. 내 마음에 들면 지갑을 여는 소비 심리를 뜻함.
내돈내산,	‘내 돈으로 내가 산’의 줄임말. 주로 제품 리뷰를 할 때 광고가 아니라는 것을 강조하기 위해 사용함.
내적친밀감,	실제로 알지는 못하지만 온라인 상에서 자주 소식을 접해서 내적으로 친밀감이 쌓였다는 뜻.
넘사벽,	넘을 수 없는 4차원의 벽의 줄임말. 대상과 거리감이 많이 느껴질 때 주로 사용함.
네카라쿠배당토,	네이버, 카카오, 라인, 배달의민족, 당근마켓, 토스 등 신흥 IT 기업을 통칭하는 말. MZ세대 취업 준비생들이 입사하고 싶어하는 꿈의 직장으로 떠오르는 기업들.
뇌이징,	‘뇌+에이징’의 합성어. 처음 봤을 때 이상하던 디자인이 보면 볼수록 예뻐 보일 때 사용함.
뇌절,	똑같은 말이나 행동을 반복해 상대를 질리게 하는 것을 지칭.
눈팅,	온라인 커뮤니티 등에서 게시글을 쓰거나 댓글을 달지 않고 오직 게시물을 읽기만 하는 것을 의미함.
뉴노멀,	상황 변화에 따라 과거의 표준이 더 이상 통하지 않고 새로운 가치 표준이 세상 변화를 주도하는 상태.
뉴짤,	새로 뜬 사진, 새로 뜬 gif
다꾸,	다이어리 꾸미기의 줄임말.
닥눈삼,	‘닥치고 눈팅 삼년’의 줄임말. 주로 커뮤니티 유저들 사이에서 사용되는 용어로, 처음 커뮤니티 활동을 시작할 때 규칙이나 분위기를 충분히 파악하고 활동하라는 뜻.
단호박,	단호한 사람, 단호한 상황을 일컫는 신조어.
달글,	‘달리는 글’의 줄임말. 한 가지 주제가 정해지면 그 주제에 대해서만 얘기하는 글을 뜻함. 유사한 커뮤니티 문화로는 ‘불판’이 있음.
답정너,	‘답은 정해져 있고 너는 대답만 하면 돼’의 줄임말.
대란,	큰 난리가 일어났다는 뜻. 어떤 물건이 너무 인기가 많아서 구하지 못해 난리인 현상에 주로 쓰임.
대전,	‘대신 전해드립니다’의 줄임말. 학교 등 한 집단의 소식을 제보 받아 대신 전하는 페이스북 페이지들을 뜻함.
댈컴,	‘대리 커스터마이징’의 줄임말. 대리로 남의 아바타를 디자인해주는 것을 뜻함.
덕력,	덕후+力(힘)의 합성어로, 팬심이 깊은 사람에게 덕력이 높다는 표현을 씀.
덕메,	덕질 메이트의 줄임말. 덕질을 함께 하는 친구를 뜻함.
덕업일치,	덕질하는 것이 직업이 되었다는 뜻. 요즘은 좋아하는 일이 직업이 되었을 때 사용하는 말로 확장됨.
데스크테리어,	데스크(Desk)+인테리어(Interior)의 합성어. 책상을 꾸미는 것을 뜻함.
도른자,	돌은 자'를 소리나는 대로 발음한 것. 진짜 웃기다는 뜻의 신조어.
도무송,	칼선이 들어가 모양대로 뗄 수 있는 스티커. 일반적으로 한 장에 스티커 하나씩 들어가 있는 형태가 많음.
도믿맨,	‘도를 아십니까’라는 말과 함께 전도하려는 사람들을 뜻하는 말.
도아너,	도안을 그리는 사람
돈쭐,	돈으로 혼쭐을 내주겠다는 뜻. 그만큼 많이 팔아주겠다는 긍정적인 의미로 사용됨.
동슈501,	2000년대 중후반, 당시 최고 인기 아이돌이었던 동방신기, 슈퍼주니어, SS501을 합쳐 부르는 말.
드덕,	드라마 덕후의 줄임말.
드래곤볼,	MZ세대는 무언가를 모을 때 ‘드래곤볼’이라고 표현함. 만화 <드래곤볼>의 내용이 구슬 일곱개를 모아야 한다는 점에서 유래됨.
드볼,	포카, 스티커 등 여러 종으로 나온 굿즈를 모두 모으는 것을 만화 <드래곤 볼>에 빗대어 부르는 말.
디깅,	digging, 한글로 직역하면 ‘발굴’이라는 뜻. MZ세대 사이에선 흥미 있는 분야의 정보를 얻기 위해 이것저것 검색해보는 일을 의미함.
디지털굿즈,	휴대폰·아이패드 배경화면, 카카오톡 테마 등 모바일 환경에 적용해서 사용할 수 있는 템플릿. 실물 굿즈가 아닌 온라인에서 배포할 수 있다는 점이 특징.
디지털네이티브,	어린 시절부터 디지털 환경에서 성장한 세대를 뜻함.
떡메,	떡메모지의 줄임말. 상단이 본드로 제본된 메모지를 뜻함.
떡밥,	이야깃거리, 특히 덕질할 거리를 뜻하는 MZ세대 용어.
떡상,	원래는 주식이나 비트코인 등의 가격이 급등하는 것을 의미하지만, 무언가의 인기가 갑자기 높아졌다는 뜻으로도 사용됨.
떼창,	공연에서 관객들이 아티스트의 노래를 다 함께 따라 부르는 행위를 뜻함. 특히 우리나라는 떼창 문화 극도로 발전되어 있어, 외국 뮤지션들 사이에서도 유명함.
라떼,	기성세대가 입 버릇처럼 말하는 “나 때는 말이야~”를 풍자하는 표현으로 “라떼는 말이야”가 탄생함. 즉, 라떼는 기성세대를 뜻함.
라라라러브송,	일본인 가수 ‘쿠보타 토시노부’의 ‘La La La Love Song’. 시티팝 특유의 감성이 그대로 녹아 있는 유명곡 중 하나로 국내에서 많은 아티스트가 커버함
라방,	라이브 방송의 줄임말.
래플,	당첨자에게 한정판 상품을 구매할 권리를 주는 판매 방식. 이 방식을 활용하는 브랜드로는 대표적으로 나이키가 있음.
랜봉,	판매하는 아이템을 랜덤하게 봉투에 담았다는 뜻.
랩핑지,	A4~A5의 사이즈의 배경지. 주로 포장이나 꾸미기에 활용되고 있음.
레게노,	레전드(Legend)의 D를 O로 잘못 읽은 말. 스트리밍 방송에서 유래한 유행어.
레딧,	미국에서 만들어진 커뮤니티 사이트로 해외 MZ세대가 즐겨찾음. 주제별 게시판인 ‘서브레딧’이 따로 있는 것이 특징.
로고플레이,	패션 트렌드 중 하나로, 브랜드 로고를 활용해 의상이나 액세서리를 디자인하는 것을 일컫는 말.
로판,	로맨스 판타지 장르를 줄여서 부르는 말. 최근 인기있는 웹소설 장르 중 하나.
롤드컵,	게임 ‘리그오브레전드(LoL) 월드 챔피언십’을 가리키는 말. ‘리그오브레전드’로 펼치는 e스포츠 대회를 뜻함.
